Tournament,Start date,End date,Best of,Player 1,Player 2,Rank 1,Rank 2,Set 1,Set 2,Set 3,Comment
ASB Classic,2007-01-01,2007-01-06,3,Baker L.,Sun T.T.,272.0,81.0,1-6,1-6,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Myskina A.,Dulko G.,16.0,59.0,1-6,7-6,2-6,Completed
ASB Classic,2007-01-01,2007-01-06,3,Birnerova E.,Loit E.,84.0,56.0,1-6,1-6,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Nakamura A.,Craybas J.,57.0,70.0,5-7,2-6,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Bartoli M.,Morita A.,18.0,180.0,7-6,6-3,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Pin C.,Perry S.,75.0,44.0,6-3,5-7,6-2,Completed
ASB Classic,2007-01-01,2007-01-06,3,Kostanic J.,Daniilidou E.,51.0,36.0,3-6,6-4,1-6,Completed
ASB Classic,2007-01-01,2007-01-06,3,Erakovic M.,Tu M.,162.0,90.0,6-3,4-6,7-5,Completed
ASB Classic,2007-01-01,2007-01-06,3,Razzano V.,Kanepi K.,88.0,78.0,7-6,6-1,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Laine E.,Johansson M.,74.0,140.0,7-6,6-1,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Meusburger Y.,Bychkova E.,135.0,76.0,7-5,6-0,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Suarez P.,Muller M.,178.0,34.0,3-6,6-1,6-1,Completed
ASB Classic,2007-01-01,2007-01-06,3,Cibulkova D.,Hantuchova D.,153.0,17.0,1-6,6-3,2-6,Completed
ASB Classic,2007-01-01,2007-01-06,3,Granville L.,Oprandi R.,68.0,53.0,6-3,6-4,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Osterloh L.,Zvonareva V.,118.0,24.0,7-5,2-6,3-6,Completed
ASB Classic,2007-01-01,2007-01-06,3,Schruff J.,Jankovic J.,82.0,12.0,3-6,4-6,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Dulko G.,Craybas J.,59.0,70.0,3-6,5-7,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Loit E.,Bartoli M.,56.0,18.0,7-5,6-4,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Sun T.T.,Suarez P.,81.0,178.0,5-7,4-6,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Erakovic M.,Daniilidou E.,162.0,36.0,4-6,6-2,4-6,Completed
ASB Classic,2007-01-01,2007-01-06,3,Pin C.,Meusburger Y.,75.0,135.0,2-6,6-3,6-3,Completed
ASB Classic,2007-01-01,2007-01-06,3,Jankovic J.,Laine E.,12.0,74.0,6-2,6-1,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Razzano V.,Hantuchova D.,88.0,17.0,6-1,7-5,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Granville L.,Zvonareva V.,68.0,24.0,4-6,1-6,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Pin C.,Loit E.,75.0,56.0,6-3,6-3,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Suarez P.,Craybas J.,178.0,70.0,3-6,6-7,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Daniilidou E.,Jankovic J.,36.0,12.0,3-6,4-6,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Razzano V.,Zvonareva V.,88.0,24.0,5-7,0-2,,Razzano V. Retired
ASB Classic,2007-01-01,2007-01-06,3,Pin C.,Jankovic J.,75.0,12.0,0-3,,,Pin C. Retired
ASB Classic,2007-01-01,2007-01-06,3,Craybas J.,Zvonareva V.,70.0,24.0,3-6,5-7,,Completed
ASB Classic,2007-01-01,2007-01-06,3,Jankovic J.,Zvonareva V.,12.0,24.0,7-6,5-7,6-3,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Castano C.,Golds S.,54.0,599.0,6-3,6-4,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Ivanova E.,Sequera M.,183.0,103.0,4-6,2-6,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Bremond S.,Benesova I.,40.0,58.0,0-6,6-4,6-2,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Hingis M.,Bammer S.,7.0,49.0,6-0,6-2,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Camerin M.E.,Vesnina E.,50.0,47.0,3-6,2-6,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Ferguson S.,Sugiyama A.,184.0,26.0,7-6,6-4,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Peer S.,Shaughnessy M.,20.0,37.0,6-1,5-7,6-0,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Li N.,Zahlavova S.,21.0,156.0,6-0,6-4,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Srebotnik K.,King V.,23.0,60.0,6-4,6-3,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Poutchkova O.,Fedak Y.,39.0,80.0,6-7,7-6,6-3,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Groenefeld A.L.,Garbin T.,19.0,38.0,6-7,7-6,3-6,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Vinci R.,Ivanovic A.,85.0,14.0,5-7,1-6,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Bovina E.,Pratt N.,1431.0,77.0,2-6,7-6,1-6,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Pennetta F.,Kirilenko M.,28.0,30.0,1-6,2-6,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Stosur S.,Peng S.,29.0,55.0,5-7,6-2,6-1,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Safina D.,Likhovtseva E.,11.0,43.0,6-3,6-2,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Li N.,Castano C.,21.0,54.0,4-6,6-1,2-6,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Bremond S.,Garbin T.,40.0,38.0,3-6,1-6,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Vesnina E.,Srebotnik K.,47.0,23.0,6-3,6-2,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Pratt N.,Hingis M.,77.0,7.0,0-6,1-6,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Peer S.,Poutchkova O.,20.0,39.0,6-3,6-2,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Sequera M.,Ivanovic A.,103.0,14.0,1-6,2-6,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Kirilenko M.,Safina D.,30.0,11.0,2-6,5-7,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Ferguson S.,Stosur S.,184.0,29.0,3-6,4-6,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Vesnina E.,Garbin T.,47.0,38.0,5-7,2-6,,Completed
Mondial Australian Women's Hardcourts,2007-01-01,2007-01-06,3,Ivanovic A.,Peer S.,14.0,20.0,7-5,4-6,4-6,Completed
